,trip_id,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
44,6887070,183316507.0,71C,INBOUND-DOWNTOWN,21:08:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,21:56:00,72,8.85656231747176,3,FIFTH AVE + WOOD ST,20856,2023-01-01 21:08:00,2023-01-01 21:56:00,0 days 00:48:00,48.0,0.8
45,12590070,183316507.0,71C,OUTBOUND-POINT BREEZE VIA OAKLAND,21:56:00,3,FIFTH AVE + WOOD ST,20856,22:39:00,68,7.991499620962632,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 21:56:00,2023-01-01 22:39:00,0 days 00:43:00,43.0,0.7166666666666667
46,2499070,183316507.0,86,INBOUND-DOWNTOWN,23:08:00,3,EAST BUSWAY + WILKINSBURG STATION B,16111,23:45:00,75,8.806709582810345,3,7TH ST + PENN AVE,20182,2023-01-01 23:08:00,2023-01-01 23:45:00,0 days 00:37:00,37.0,0.6166666666666667
47,9430070,183316507.0,86,OUTBOUND-WILKINSBURG,23:45:00,3,7TH ST + PENN AVE,20182,24:22:00,72,8.57752246262443,3,EAST BUSWAY + WILKINSBURG STATION D,16118,2023-01-01 23:45:00,2023-01-02 00:22:00,0 days 00:37:00,37.0,0.6166666666666667
48,9197070,183316607.0,71A,INBOUND-DOWNTOWN,04:37:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,05:11:00,60,6.64816011532678,3,FIFTH AVE + WOOD ST,20856,2023-01-01 04:37:00,2023-01-01 05:11:00,0 days 00:34:00,34.0,0.5666666666666667
49,8407070,183316607.0,71A,OUTBOUND-NEGLEY VIA OAKLAND,05:11:00,3,FIFTH AVE + WOOD ST,20856,05:41:00,61,6.447270309567898,3,ST CLAIR ST + BUNKER HILL APTS,3118,2023-01-01 05:11:00,2023-01-01 05:41:00,0 days 00:30:00,30.0,0.5
50,7440070,183316607.0,71B,INBOUND-DOWNTOWN,06:00:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,06:33:00,60,6.8277865460375065,3,FIFTH AVE + WOOD ST,20856,2023-01-01 06:00:00,2023-01-01 06:33:00,0 days 00:33:00,33.0,0.55
51,5155070,183316607.0,71B,OUTBOUND-HIGHLAND PARK,06:33:00,3,FIFTH AVE + WOOD ST,20856,07:04:00,59,6.455453788509576,3,BUNKERHILL ST + ST CLAIR NS,3283,2023-01-01 06:33:00,2023-01-01 07:04:00,0 days 00:31:00,31.0,0.5166666666666667
52,12372070,183316707.0,28X,OUTBOUND-PITTSBURGH INTL AIRPORT,12:43:00,3,FIFTH AVE + MCPHERSON FS,8308,13:49:00,40,27.660500577876647,3,PGH AIRPORT UPPER LEVEL (DEPARTURES),22827,2023-01-01 12:43:00,2023-01-01 13:49:00,0 days 01:06:00,66.0,1.1
53,7456070,183316707.0,28X,INBOUND-DOWNTOWN,14:01:00,3,PGH INTERNL AIRPORT LOWER LEVEL (DOOR2),4405,15:07:00,41,27.530782805373633,3,EAST LIBERTY DRWY + FIFTH FS,16029,2023-01-01 14:01:00,2023-01-01 15:07:00,0 days 01:06:00,66.0,1.1
