trip_id,Unnamed: 0,block_id,route_id,trip_headsign,trip_start_time,service_id_start,start_stop,start_stop_id,trip_end_time,number_total_stops,total_distance_traveled,service_id_end,end_stop,end_stop_id,trip_start_datetime,trip_end_datetime,timeDelta,timeDelta_minutes,timeDelta_hours
3249070,707,183330107,71B,OUTBOUND-HIGHLAND PARK,18:33:00,3,FIFTH AVE + WOOD ST,20856,19:09:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 18:33,1/1/2023 19:09,0 days 00:36:00,36.0,0.6
3212070,708,183330107,71B,INBOUND-DOWNTOWN,19:25:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,20:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 19:25,1/1/2023 20:03,0 days 00:38:00,38.0,0.633333333
3647070,709,183330107,71B,OUTBOUND-HIGHLAND PARK,20:03:00,3,FIFTH AVE + WOOD ST,20856,20:39:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 20:03,1/1/2023 20:39,0 days 00:36:00,36.0,0.6
2018070,770,183331507,71B,INBOUND-DOWNTOWN,13:21:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,14:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 13:21,1/1/2023 14:03,0 days 00:42:00,42.0,0.7
11709070,771,183331507,71B,OUTBOUND-HIGHLAND PARK,14:03:00,3,FIFTH AVE + WOOD ST,20856,14:43:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 14:03,1/1/2023 14:43,0 days 00:40:00,40.0,0.666666667
10121070,772,183331507,71B,INBOUND-DOWNTOWN,15:21:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,16:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 15:21,1/1/2023 16:03,0 days 00:42:00,42.0,0.7
7818070,773,183331507,71B,OUTBOUND-HIGHLAND PARK,16:03:00,3,FIFTH AVE + WOOD ST,20856,16:43:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 16:03,1/1/2023 16:43,0 days 00:40:00,40.0,0.666666667
2894070,782,183331907,71B,INBOUND-DOWNTOWN,20:55:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,21:33:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 20:55,1/1/2023 21:33,0 days 00:38:00,38.0,0.633333333
6155070,783,183331907,71B,OUTBOUND-HIGHLAND PARK,21:33:00,3,FIFTH AVE + WOOD ST,20856,22:09:00,59,6.455453789,3,BUNKERHILL ST + ST CLAIR NS,3283,1/1/2023 21:33,1/1/2023 22:09,0 days 00:36:00,36.0,0.6
5770070,784,183331907,71B,INBOUND-DOWNTOWN,22:31:00,3,ST CLAIR ST + BUNKER HILL APTS,3118,23:03:00,60,6.827786546,3,FIFTH AVE + WOOD ST,20856,1/1/2023 22:31,1/1/2023 23:03,0 days 00:32:00,32.0,0.533333333
