,trip_id,block_id,route_id,trip_headsign,trip_start_time,trip_end_time,start_stop_id,end_stop_id,start_stop_name,start_stop_lat,start_stop_lon,end_stop_name,end_stop_lat,end_stop_lon
3955,5792080,183440808.0,56,OUTBOUND-PENN STATE - MCKEESPORT,15:40:00,16:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3956,1564080,183440808.0,56,INBOUND-DOWNTOWN,16:52:00,17:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3957,13531080,183440808.0,56,OUTBOUND-PENN STATE - MCKEESPORT,17:40:00,18:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3958,498080,183440908.0,56,INBOUND-DOWNTOWN,18:52:00,19:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3959,6847080,183440908.0,56,OUTBOUND-PENN STATE - MCKEESPORT,19:40:00,20:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3960,6392080,183440908.0,56,INBOUND-DOWNTOWN,20:52:00,21:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3961,12045080,183440908.0,56,OUTBOUND-PENN STATE - MCKEESPORT,21:40:00,22:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3962,9836080,183441008.0,61B,INBOUND-DOWNTOWN,18:02:00,19:00:00,12565,20856,BRADDOCK HILLS S C + STOREFRONT,40.414555,-79.85334,FIFTH AVE + WOOD ST,40.440792,-80.000658
3963,5969080,183441008.0,61B,OUTBOUND-BRADDOCK-SWISSVALE,19:00:00,19:54:00,20856,7357,FIFTH AVE + WOOD ST,40.440792,-80.000658,BRADDOCK HILLS SC + GIANT EAGLE,40.414495,-79.855219
3964,8981080,183441108.0,56,INBOUND-DOWNTOWN,19:52:00,20:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
3965,12353080,183441108.0,56,OUTBOUND-PENN STATE - MCKEESPORT,20:40:00,21:29:00,43,21505,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786,BROADWAY AVE + RED LOT NS (CROSSWALK),40.34584,-79.827375
3966,1697080,183441108.0,56,INBOUND-DOWNTOWN,21:52:00,22:40:00,21490,43,GREEN LOT + BROADWAY AVE,40.346081,-79.828415,BLVD OF ALLIES + STANWIX ST,40.439575,-80.004786
